Region,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
Norfolk/Portsmouth Market,0.168020,0.167986,0.157460,0.158097,0.150229,0.153563,0.152143,0.148568,0.147022,0.147203,0.158543,0.168665,0.167601,0.170734,0.167583,0.165049,0.154281,0.154703,0.141537,0.139835,0.138590,0.139746,0.132766,0.128534,0.129725,0.126217
Chesapeake/Suffolk Market,0.041706,0.045619,0.049999,0.051814,0.052049,0.055060,0.058587,0.064430,0.069869,0.074615,0.077416,0.079518,0.086559,0.094436,0.096734,0.106813,0.104918,0.105253,0.109962,0.120754,0.130066,0.128188,0.124599,0.122833,0.125785,0.126518
Williamsburg Market,0.333612,0.327565,0.334647,0.330696,0.337244,0.323644,0.326153,0.316242,0.314072,0.306164,0.291468,0.274490,0.250294,0.235563,0.234089,0.217852,0.226462,0.203143,0.206958,0.206955,0.188941,0.180044,0.191312,0.212640,0.216779,0.204065
Virginia Beach Market,0.346063,0.346249,0.342816,0.336784,0.339936,0.341621,0.339131,0.340877,0.331733,0.339827,0.337873,0.336122,0.345889,0.346852,0.349795,0.355215,0.357813,0.371828,0.372577,0.376963,0.386239,0.398109,0.396983,0.388329,0.379740,0.398010
Newport News/Hampton Market,0.110599,0.112582,0.115077,0.122610,0.120542,0.126112,0.123985,0.129882,0.137303,0.132190,0.134700,0.141205,0.149656,0.152414,0.151799,0.155071,0.156525,0.165073,0.168966,0.155493,0.156164,0.153913,0.154340,0.147665,0.147971,0.145190
Richmond/Petersburg Market,0.108619,0.104117,0.104868,0.108147,0.107687,0.110823,0.110381,0.113628,0.110837,0.107847,0.108434,0.106543,0.113079,0.108554,0.106813,0.107941,0.111559,0.109750,0.101362,0.104662,0.111057,0.112528,0.113254,0.115968,0.117679,0.119811
Staunton/Harrisonburg Market,0.023913,0.022713,0.022752,0.022888,0.023293,0.023847,0.022742,0.021191,0.020085,0.019429,0.021409,0.021770,0.020610,0.019737,0.019723,0.020268,0.019988,0.019810,0.020140,0.020460,0.021353,0.022561,0.023075,0.022886,0.023076,0.024350
Virginia Portion of Washington DC,0.391401,0.402742,0.411068,0.413343,0.413725,0.422821,0.432551,0.431273,0.449924,0.471169,0.450730,0.433871,0.433159,0.464742,0.480131,0.477159,0.473340,0.487279,0.479422,0.487777,0.481082,0.473998,0.460690,0.459783,0.460088,0.453465
Blacksburg/Wytheville Market,0.021056,0.020875,0.021060,0.021128,0.021263,0.020924,0.019881,0.019253,0.019254,0.018696,0.019451,0.019894,0.019514,0.017930,0.017548,0.018456,0.018170,0.018033,0.018999,0.019370,0.020020,0.021559,0.022514,0.021967,0.021694,0.021070
Charlottesville Market,0.022869,0.022615,0.025093,0.023937,0.024192,0.024656,0.024943,0.024463,0.024827,0.025174,0.026828,0.026511,0.026071,0.025356,0.024507,0.026040,0.026613,0.026521,0.027497,0.028059,0.029165,0.028751,0.030180,0.030978,0.030734,0.032763
Lynchburg Market,0.013603,0.012570,0.012931,0.014035,0.013904,0.013397,0.013059,0.012657,0.012801,0.012132,0.011834,0.011319,0.011626,0.011336,0.010753,0.011674,0.011295,0.012036,0.013124,0.012991,0.013168,0.013653,0.015003,0.015028,0.014982,0.015250
Roanoke Market,0.032820,0.032374,0.030425,0.028723,0.029742,0.030995,0.029999,0.029854,0.029285,0.027252,0.027919,0.027260,0.026066,0.024865,0.024861,0.025318,0.024493,0.025367,0.024932,0.025108,0.025560,0.026010,0.027377,0.027209,0.027761,0.026536
Other Markets,0.097442,0.096039,0.094176,0.091430,0.088530,0.084096,0.079649,0.078247,0.078232,0.074926,0.080553,0.082956,0.081193,0.082222,0.080388,0.081102,0.078298,0.076962,0.077375,0.077059,0.079044,0.081379,0.085659,0.081941,0.082386,0.084276
Hampton Roads Market,0.280233,0.277459,0.269240,0.268372,0.270370,0.260778,0.259588,0.261401,0.246928,0.235882,0.244918,0.261469,0.260599,0.237080,0.227232,0.224043,0.228139,0.215873,0.228473,0.215933,0.210579,0.211015,0.213562,0.215458,0.212924,0.213973
Virginia Portion of Bristol/Kingsport,0.008044,0.008496,0.008388,0.007995,0.007294,0.007663,0.007208,0.008033,0.007826,0.007493,0.007925,0.008408,0.008083,0.008178,0.008044,0.007999,0.008103,0.008369,0.008675,0.008581,0.008971,0.008547,0.008685,0.008780,0.008676,0.008507
DC CBD WMS,0.462157,0.465262,0.469999,0.439560,0.447663,0.436424,0.430023,0.426675,0.416800,0.409361,0.408220,0.414646,0.405487,0.408762,0.415190,0.406342,0.419352,0.408045,0.414071,0.412976,0.419529,0.413230,0.437318,0.430314,0.426595,0.430665
Maryland Portion WMS,0.158156,0.147595,0.145990,0.153004,0.149928,0.150647,0.152467,0.154052,0.154546,0.155118,0.162994,0.158517,0.156439,0.149473,0.147470,0.153335,0.148204,0.166085,0.173926,0.176607,0.175045,0.175319,0.167864,0.170734,0.169657,0.171538
Remaining WMS,0.010042,0.010049,0.009910,0.010366,0.010226,0.010402,0.009947,0.010159,0.008831,0.008905,0.008898,0.009394,0.009383,0.008453,0.007957,0.008114,0.009276,0.009708,0.010250,0.009246,0.009789,0.010348,0.009548,0.010369,0.010767,0.010756
Virginia Portion of Washington DC WMS,0.369645,0.377094,0.374101,0.397071,0.392183,0.402527,0.407563,0.409114,0.419823,0.426616,0.419889,0.417443,0.428691,0.433313,0.429383,0.432209,0.423169,0.416162,0.401753,0.401171,0.395637,0.401103,0.385270,0.388584,0.392981,0.387041
DC CBD ARS,0.326796,0.322000,0.321996,0.321758,0.322769,0.320819,0.316518,0.314136,0.307468,0.302363,0.298250,0.294788,0.292877,0.292880,0.290989,0.288988,0.284654,0.271914,0.267977,0.265085,0.263825,0.263088,0.262084,0.267056,0.269406,0.271722
Maryland Portion ARS,0.222561,0.219968,0.219756,0.219162,0.216623,0.214679,0.214311,0.214083,0.215744,0.216500,0.214113,0.212080,0.209461,0.208929,0.211927,0.214130,0.215010,0.227554,0.234568,0.234866,0.232850,0.231296,0.228849,0.228999,0.228487,0.228721
Remaining ARS,0.017076,0.017963,0.017935,0.017964,0.018861,0.019017,0.019908,0.020402,0.020782,0.020755,0.020554,0.020753,0.020526,0.020225,0.020150,0.020545,0.021832,0.021945,0.021277,0.020396,0.020161,0.021359,0.021012,0.020805,0.020356,0.020013
Virginia Portion of Washington DC ARS,0.433568,0.440070,0.440313,0.441117,0.441748,0.445485,0.449264,0.451380,0.456006,0.460382,0.467083,0.472379,0.477136,0.477966,0.476934,0.476337,0.478504,0.478587,0.476178,0.479654,0.483164,0.484257,0.488054,0.483140,0.481750,0.479544
