"date","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area","Charlottesville, VA Metropolitan Statistical Area","Harrisonburg, VA Metropolitan Statistical Area","Lynchburg, VA Metropolitan Statistical Area","Richmond, VA Metropolitan Statistical Area","Roanoke, VA Metropolitan Statistical Area","Staunton-Waynesboro, VA Metropolitan Statistical Area","Virginia","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Winchester, VA-WV Metropolitan Statistical Area"
"01/01/2005","1001508","1778063","1199576","1620740","10934079","2846692","795456","68337997","12949352","26832476","1310409"
"02/01/2005","1059452","1816030","1134161","1664775","11427509","2842725","834159","69504414","13420127","27028050","1368307"
"03/01/2005","1166520","2061918","1291996","2020092","12887472","3287100","976384","80009951","15377419","31363776","1548400"
"04/01/2005","1224008","1995117","1265002","1849210","12844984","3447503","1015175","80498695","15628412","31615236","1622746"
"05/01/2005","1183818","2040573","1321553","1854760","12949241","3424562","1046160","80601558","15728377","31357023","1624391"
"06/01/2005","1226300","2169800","1386532","2028711","13610122","3690934","1072166","86524212","16871298","34040215","1746756"
"07/01/2005","1226347","2047903","1272620","1875278","12254916","3396535","969147","80948410","16064417","31689967","1858588"
"08/01/2005","1249729","2041714","1348885","1876123","11976663","3338220","980811","78053176","16115307","29578298","1572684"
"09/01/2005","1246387","2128954","1375245","1902905","13303917","3407670","1019610","82400656","15793938","32324469","1573052"
"10/01/2005","1199018","2683205","1243768","2037690","13501238","3248977","1250306","85406448","15312671","35731302","1689607"
"11/01/2005","1229008","2073994","1378652","1917031","12880065","3419517","1031633","80718638","15136888","32022897","1658666"
"12/01/2005","1454155","2682506","1590380","2563352","16227317","4284570","1229226","103919422","19563363","42556079","2422310"
"01/01/2006","1044759","1545238","1197057","1751621","12004003","2964671","896413","71820882","13292261","28430194","1462724"
"02/01/2006","1150050","1928623","1198155","1807081","12104404","3140958","906646","73945439","14432391","28473709","1411768"
"03/01/2006","1342618","2193501","1402877","2160098","14508906","3621134","1074817","86765929","16763656","33358167","1750074"
"04/01/2006","1694514","2153542","1454237","2083354","13787763","3578123","1049359","85856905","16315776","33684560","1686326"
"05/01/2006","1236752","2259007","1392888","2283024","14161195","3630802","1099269","86381550","16545131","33662211","1765450"
"06/01/2006","1349054","2330035","1478586","2255773","15112537","3684221","1178376","91852412","18044624","35212608","1796916"
"07/01/2006","1216689","2127572","1350819","2171478","13000398","3519214","1034091","82843535","16791722","31703912","1632984"
"08/01/2006","1390435","2249751","1480374","2178238","13754291","3670189","1056980","86815410","17123459","33352935","1803669"
"09/01/2006","1333361","2310748","1407954","2235020","13838166","3575039","1068106","86210769","16607565","33507340","1649173"
"10/01/2006","1298700","2226207","1405154","2136116","13675581","3734709","1070962","84946007","16468899","32899171","1630696"
"11/01/2006","1263541","2248713","1397122","2147762","13868403","3716798","1056559","85566875","16380357","33233997","1735031"
"12/01/2006","1640404","2728203","1629122","2715349","16959361","4539344","1291911","105538361","19815476","42199215","2131593"
"01/01/2007","1190728","2013708","1237406","1887287","13006514","3272567","947072","77137072","14598396","29873812","1469265"
"02/01/2007","1237124","2000134","1204985","1945517","13521738","3163851","921939","78071952","15993473","29065915","1361719"
"03/01/2007","1315854","2341978","1421614","2268721","14872647","3784501","1149927","88954561","17396418","34104269","1617635"
"04/01/2007","1368903","2127740","1367135","2075383","13972381","3587514","1092535","85856927","16340002","33403125","1635538"
"05/01/2007","1335348","2388285","1393741","2216089","14668801","3776332","1121900","90452834","17117531","35896900","1652854"
"06/01/2007","1469355","2336312","1496060","2338713","15332632","3881494","1158135","92985333","18680364","34882790","1799328"
"07/01/2007","1236398","2263543","1410864","2051261","13583076","3512431","1083309","86382482","17770654","33271295","1624290"
"08/01/2007","1416802","2275591","1516943","2230003","14653901","3631009","1119949","88491580","17715526","32914687","1704352"
"09/01/2007","1494198","2275159","1389338","2194412","13934319","3636871","1125730","85574021","16698975","32415990","1591062"
"10/01/2007","1355938","2280115","1414923","2124307","14448676","3519889","1161862","90277091","16647239","36739517","1650213"
"11/01/2007","1350867","2193534","1420371","2175546","14914033","3561049","1150551","86866150","16621942","33166975","1585084"
"12/01/2007","1627003","2649957","1611047","2832511","17646136","4424428","1379495","105716675","19667607","41477701","1912576"
"01/01/2008","1163873","2011740","1321769","1983584","12593460","3174810","943696","75993755","14123433","29557930","1379648"
"02/01/2008","1219269","2075303","1240469","2142449","13096492","3269195","962235","76916885","15011955","28716234","1394056"
"03/01/2008","1410055","2215649","1422276","2295657","14564574","3646588","1123087","87279803","16550019","33517608","1660338"
"04/01/2008","1361841","2151651","1459279","2253351","13592791","3596812","1024821","85375752","16379995","33334561","1575251"
"05/01/2008","1475722","2260278","1446718","2421409","14436379","3785279","1136061","87864313","16797297","33577982","1560725"
"06/01/2008","1481074","2288306","1479589","2403910","15218684","3897770","1370326","93820412","18264434","35823395","1667028"
"07/01/2008","1360204","2114312","1464126","2404621","14643308","3685575","1106378","87119058","17157412","32385754","1539074"
"08/01/2008","1443624","2201788","1478526","2046686","13791380","3628678","1065838","85141162","17002342","31971915","1575811"
"09/01/2008","1520663","2169588","1506310","2233416","14398440","3697500","1102645","86220515","16363031","32562157","1469311"
"10/01/2008","1385400","2202252","1419954","2189609","14152449","3638057","1089886","85266564","15337236","33761198","1506075"
"11/01/2008","1336964","2089682","1266162","1995482","13034315","3436374","1020466","79616309","14798514","30944406","1347967"
"12/01/2008","1618649","2615154","1565414","2765264","17179911","4487204","1286547","102200550","19394028","39415937","1670098"
"01/01/2009","1148400","1807378","1203885","1838324","11944160","2877537","887026","73070478","13718671","28884381","1160354"
"02/01/2009","1151222","1813866","1132753","1770463","11896574","2927122","891070","70276595","13582377","26468062","1178903"
"03/01/2009","1290332","1927013","1290457","2279292","13158104","3299487","1035324","79779253","15325316","30312917","1333245"
"04/01/2009","1320431","2032575","1303740","2030314","13308407","3269199","1010152","80561120","15819209","30839741","1332606"
"05/01/2009","1316535","2036654","1271201","2020278","12916685","3213897","1033385","80457217","15589612","31250381","1348131"
"06/01/2009","1466875","2205979","1316472","2091934","15752046","3474237","1152167","88867042","16724050","33941888","1475064"
"07/01/2009","1322791","2020269","1258252","1986827","13230354","3249002","995787","82233959","16411179","31735447","1406304"
"08/01/2009","1350818","2007778","1337870","1877853","12527171","3081080","981268","78920536","15559835","30578343","1408948"
"09/01/2009","1357647","2214987","1284086","2123132","13245698","3355213","1010159","83330660","15542271","32894024","1459645"
"10/01/2009","1317679","2699030","1272379","2087389","13532161","3267882","987925","81557673","14997748","31775109","1366848"
"11/01/2009","1194178","2034855","1205219","1963000","13247022","3167325","956227","83021443","15058434","34549263","1295035"
"12/01/2009","1499939","2479759","1437653","2451644","15920657","4026056","1265678","97518688","19025385","37638324","1596873"
"01/01/2010","989012","1796879","1063403","1658881","11825703","2644580","879949","69828012","12769154","27765054","1118865"
"02/01/2010","1012945","1700869","1022827","1721845","10745536","2698978","882836","66348707","13298315","25049109","969819"
"03/01/2010","1296507","2644042","1333686","2411994","14288696","3254872","1111327","85913735","16057104","32982115","1484873"
"04/01/2010","1342141","2127012","1325920","2187434","12206237","3293095","1028977","81590093","15361333","32584049","1428468"
"05/01/2010","1339802","2115735","1301069","2219047","13303854","3327525","1032635","83035605","15713306","32326485","1382110"
"06/01/2010","1345495","2412385","1373864","2178539","14013990","3380316","1054972","87187573","16667102","34120624","1428626"
"07/01/2010","1372509","2102556","1257768","2028245","12712976","3160360","975391","82551043","16331821","32390107","1399059"
"08/01/2010","1432520","2084799","1346039","2109968","12546630","3138072","974238","81354444","15794020","31876704","1450135"
"09/01/2010","1429195","2272375","1391736","2196921","13699043","3441576","1060901","86940858","16209429","34561040","1488725"
"10/01/2010","1265311","2197654","1359813","2036665","13604210","3281527","1009981","83031897","15016909","33418458","1477211"
"11/01/2010","1305923","2110202","1257009","2094284","13422548","3320143","1016432","82342664","15164747","32806150","1540793"
"12/01/2010","1589385","2657778","1580501","2753791","16827355","4209393","1253695","102695881","18720488","41397359","1861878"
"01/01/2011","1208318","1907728","1245227","1892694","12367049","2917418","883274","74641844","13584288","29895919","1220929"
"02/01/2011","1220988","1904827","1258524","1849540","12328076","3011931","903123","74941174","14095651","29108110","1316311"
"03/01/2011","1328837","2148211","1343879","2017046","13914929","3310332","1035075","84495493","15868577","33641794","1499168"
"04/01/2011","1415502","2162152","1363977","2152214","13924608","3426227","1086196","86985262","16252707","34638151","1532369"
"05/01/2011","1452067","2224005","1371493","2201297","13738410","3631859","1079730","85406955","15844261","33537476","1510174"
"06/01/2011","1333304","2211548","1622981","2274052","14652903","3426251","1116635","92135494","17376568","37039767","1680491"
"07/01/2011","1372098","2092956","1211027","2023068","13225523","3260846","1094396","84200356","16546425","33078897","1546121"
"08/01/2011","1441543","2258432","1425598","2146512","13443247","3528059","1093734","87077879","16619327","34591700","1627649"
"09/01/2011","1469447","2253255","1346051","2172559","13776403","3364949","1078282","87132092","16024898","34948050","1660135"
"10/01/2011","1445448","2220155","1439806","2091152","13846454","3317193","1015371","86653096","15674752","35216818","1502483"
"11/01/2011","1388880","2207595","1368469","2152197","14272299","3479079","1091345","86998062","16091804","34243776","1632703"
"12/01/2011","1739564","2726627","1406140","2936787","17281433","4361278","1353193","105313522","19084514","41834090","1945226"
"01/01/2012","1334651","1837095","1223071","1774552","12501298","3017961","891479","76922127","13930735","31200197","1330809"
"02/01/2012","1346810","2030506","1270732","2114214","13495775","3207137","969688","80597580","15348614","30783633","1427566"
"03/01/2012","1541696","2379363","1440055","2141072","15474611","3731335","1132712","93009772","17191412","36870964","1658591"
"04/01/2012","1403390","2157546","1329349","2078589","14226908","3343633","1024114","87074205","16216094","34779910","1522755"
"05/01/2012","1435436","2257535","1507869","2148834","14530752","3565801","1130227","92276660","15857072","38583788","1638713"
"06/01/2012","1545891","2343297","1437246","2246313","15229580","3708545","1134380","95717390","17813168","38202869","1704356"
"07/01/2012","1469545","2163135","1401087","2068229","14134406","3416435","1055898","90152230","17485045","35516074","1582334"
"08/01/2012","1360658","2360874","1468858","2271303","14587407","3772138","1118783","91983080","16937258","36468088","1729281"
"09/01/2012","1576955","2340435","1466721","2266151","14621513","3504257","1098194","90120871","16479047","35678431","1679706"
"10/01/2012","1397064","2215927","1336484","2056921","13305745","3365024","1023039","84242722","14600861","34782713","1566103"
"11/01/2012","1576767","2471861","1453292","2317933","14881394","3649717","1145591","91139984","16639779","35962169","1807907"
"12/01/2012","1780308","2807655","1574825","2782791","17795371","4397971","1261911","107426421","19569480","43215103","1959755"
"01/01/2013","1255168","1977421","1257737","2003824","12744425","3109185","941454","80376392","14257311","33727880","1484105"
"02/01/2013","1348760","2068286","1278211","2137196","12858149","3178285","973905","81521983","14784223","33029215","1480611"
"03/01/2013","1671794","2169491","1510530","2242867","15068215","3503258","1157633","92230779","17089281","36787808","1599561"
"04/01/2013","1467863","2297451","1486631","2267449","14868465","3631318","1248366","92553822","17460610","37328861","1654014"
"05/01/2013","1465697","2350433","1421632","2252221","14668652","3614676","1150434","92436992","17499718","37355200","1708671"
"06/01/2013","1503527","2481948","1441607","2284324","15245604","3801584","1227709","97114277","18822481","38991092","1712829"
"07/01/2013","1455835","2281424","1434403","2165418","13755917","3408055","1118211","89789825","17353027","35484844","1677419"
"08/01/2013","1546114","2412403","1554375","2164940","14037363","3505062","1054735","90429025","17263019","35694221","1711644"
"09/01/2013","1487825","2408993","1483656","2174550","14381329","3519952","1136762","89406482","16475358","35572394","1664833"
"10/01/2013","1590725","2622927","1550170","2267438","15439831","3855260","1199259","96556090","17194015","39967584","1674585"
"11/01/2013","1489057","2441160","1473413","2244289","14439272","3591257","1146796","89492740","15939218","36053736","1762258"
"12/01/2013","1642844","2736447","1659345","2584402","17074433","3921995","1240954","101384261","19141899","39387006","1960856"
"01/01/2014","1434318","2230735","1293081","2138641","13585081","3762074","982563","81197494","14320127","32480431","1419743"
"02/01/2014","1297261","2160685","1377042","2153896","13867494","3150256","1001232","80916394","15597866","30747309","1477544"
"03/01/2014","1536574","2400338","1493014","2350642","15236428","3634205","1087389","93207955","17007998","36642988","1692680"
"04/01/2014","1516628","2502389","1560436","2416041","15547715","3751296","1157485","92861402","17005958","36654193","1744095"
"05/01/2014","1577928","2538208","1621220","2323528","15463247","3702556","1198906","96341065","17799711","38627395","1815229"
"06/01/2014","1522353","2457913","1469254","2340810","15600240","3733707","1214170","97618031","18649389","37860485","1835517"
"07/01/2014","1705415","2432761","1495448","2264791","15120043","3722416","1145465","93914532","18433020","36340683","1755630"
"08/01/2014","1621788","2469425","1594166","2687504","15008591","3594002","1190358","94884588","18138272","37466328","1800175"
"09/01/2014","1672371","2595290","1767375","2398729","15550124","3777667","1175431","96246821","17385160","38322707","1765660"
"10/01/2014","1605541","2622583","1556677","2302109","15664408","3929836","1262226","97664199","17546155","39625431","1786235"
"11/01/2014","1568119","2499211","1537465","2325004","15140694","3705743","1265286","94636015","16890387","38800856","1854445"
"12/01/2014","1911459","3141812","1894307","3048153","17695463","4771316","1454433","111706364","20527965","44257098","2107667"
"01/01/2015","1311372","2190473","1305172","2038804","13803539","3209327","1038116","83115661","15137273","33189798","1522987"
"02/01/2015","1404485","2190971","1330309","2110185","13880335","3226302","1020792","82043204","15328807","31737781","1463635"
"03/01/2015","1515303","2513345","1512287","2480221","15820540","3970565","1196137","98055674","17971976","38449613","1723903"
"04/01/2015","1591189","2534701","1603239","2530835","16398853","3851842","1214336","97102804","17929680","38097502","1772130"
"05/01/2015","1699969","2646037","1609791","2482006","16227933","3965482","1282381","100527553","18582950","40178549","1877326"
"06/01/2015","1588710","2616848","1607548","2515002","17179750","4048591","1313557","103430548","19262687","41297287","1860557"
"07/01/2015","1594690","2455727","1542697","2438303","15737380","3875181","1225770","98165027","18915950","38737268","1822073"
"08/01/2015","1697520","2667080","1671138","2423995","15684757","3767390","1222433","97815827","18880198","38243885","1832868"
"09/01/2015","1715697","2745305","1701776","2517759","16289710","3861760","1363143","100643142","18692051","40019037","1858533"
"10/01/2015","1627610","2674337","1651303","2436519","15724585","3758074","1301397","103779216","17570633","43478527","1833916"
"11/01/2015","1716015","2601266","1658975","2428947","15803787","3777865","1167716","95879771","17457483","37960474","1954112"
"12/01/2015","2015304","3084837","1961641","3043503","19941003","4937777","1455817","119052844","21724510","47425575","2218320"
"01/01/2016","1365410","2273943","1430105","2132597","13685241","3304072","1056495","82117925","14965568","32494067","1561983"
"02/01/2016","1425280","2390475","1473167","2251386","14585065","3445609","1082734","87669475","16343128","34373044","1638612"
"03/01/2016","1705896","2739109","1745418","2663364","17298393","3953929","1349772","103129428","19104319","40284362","1879099"
"04/01/2016","1612867","2632273","1594999","2430278","15458728","3755829","1233374","96492946","17771204","38685148","1841805"
"05/01/2016","1668238","2672330","1643519","2500523","15809397","3857776","1242445","99084148","18279991","39779185","1839542"
"06/01/2016","1622772","2919933","1690944","2705758","17080026","4078175","1335214","106933368","19895762","42975644","2005212"
"07/01/2016","1561557","2657891","1592162","2376958","15720218","3767334","1212534","99245902","19099896","39367304","1832227"
"08/01/2016","1676638","2785012","1708475","2564356","16235636","3808347","1207419","100841437","19062739","39876937","1996448"
"09/01/2016","1796129","2998798","1701294","2541862","16576602","3850216","1289914","101173002","18567783","39182437","1928868"
"10/01/2016","1680647","2911487","1715101","2515018","16439644","3803398","1258709","102651090","18036256","42199235","1943994"
"11/01/2016","1639091","2709199","1709494","2535146","16601687","3852617","1268388","100777400","18271371","39883916","2022658"
"12/01/2016","1968311","3262176","1998657","3204558","20290058","4921663","1497286","122141874","22030671","48815337","2259383"
"01/01/2017","1346079","2385962","1486349","2152631","14260785","3255111","1060270","86952366","15334560","34884780","1662435"
"02/01/2017","1432577","2386257","1515670","2278393","14760762","3513939","1058770","88897947","16217278","35258346","1707516"
